feature_map,n_pool,n_qubits,seed,acc,f1,mcc
RBF-Class,1200,8,0,0.8583333333333333,0.8581796738011078,0.8118890424753749
RBF-Class,1200,8,1,0.8125,0.8100058516836868,0.7505701784095516
RBF-Class,1200,8,2,0.8541666666666666,0.8553077815930745,0.8059442603237312
RBF-Class,1600,8,0,0.878125,0.8768037713078811,0.8378468598673658
RBF-Class,1600,8,1,0.828125,0.8264999751800994,0.7710001660174718
RBF-Class,1600,8,2,0.88125,0.8805364610215968,0.8416938110749186
RBF-Class,2000,8,0,0.895,0.8951102677012325,0.860158582049656
RBF-Class,2000,8,1,0.87,0.8704840723716686,0.8266744015650427
RBF-Class,2000,8,2,0.8625,0.8617680818049973,0.8167811792960348
RBF-Class-2n,400,8,0,0.85,0.8488384422594949,0.8037568258475616
RBF-Class-2n,400,8,1,0.9,0.8970402908591403,0.8674607463961719
RBF-Class-2n,400,8,2,0.925,0.9248837384267422,0.9005421967345456
RBF-Class-2n,800,8,0,0.86875,0.865643299263705,0.828482283017167
RBF-Class-2n,800,8,1,0.9125,0.9111023429992642,0.883984247568977
RBF-Class-2n,800,8,2,0.89375,0.8936490338929363,0.8586022077117089
RBF-Class-2n,1200,8,0,0.8583333333333333,0.8576459320992662,0.8121351832093204
RBF-Class-2n,1200,8,1,0.8333333333333334,0.8313776608402336,0.7779274987845444
RBF-Class-2n,1200,8,2,0.875,0.8755418967503575,0.8336039372236356
RBF-Class-2n,1600,8,0,0.9,0.8993486298583933,0.8666354426103208
RBF-Class-2n,1600,8,1,0.834375,0.832760299519201,0.779161157916242
RBF-Class-2n,1600,8,2,0.89375,0.8939100277792277,0.8582916628486434
RBF-Class-2n,2000,8,0,0.8875,0.8875137058884786,0.8504401930928475
RBF-Class-2n,2000,8,1,0.86,0.8600344323183245,0.8136306271646232
RBF-Class-2n,2000,8,2,0.8675,0.8665593760327024,0.8238927094114464
W2K-Block,400,8,0,0.85,0.8490182490182491,0.8007536261691618
W2K-Block,400,8,1,0.875,0.8721166221166221,0.8337508117071513
W2K-Block,400,8,2,0.9,0.899240361692223,0.8675705556195193
W2K-Block,800,8,0,0.8625,0.8595723050313844,0.8195046272140469
W2K-Block,800,8,1,0.90625,0.9048164975113804,0.8753852208263906
W2K-Block,800,8,2,0.90625,0.9061308975634385,0.8754233326111498
W2K-Block,1200,8,0,0.8583333333333333,0.8576647411210954,0.8119961784710733
W2K-Block,1200,8,1,0.8333333333333334,0.8315816038116772,0.7777881617968601
W2K-Block,1200,8,2,0.8625,0.863348772901579,0.8168484285605082
W2K-Block,1600,8,0,0.8875,0.8863484710168982,0.8503429893006171
W2K-Block,1600,8,1,0.8375,0.8362144648416278,0.7833030157917548
W2K-Block,1600,8,2,0.88125,0.8808964880584478,0.8421491505223285
W2K-Block,2000,8,0,0.9,0.8998646423316774,0.8665871713631872
W2K-Block,2000,8,1,0.86,0.859891957895196,0.8136194991961628
W2K-Block,2000,8,2,0.86,0.8594606215289713,0.813687460003356
IQP,400,8,0,0.3875,0.3726667830184563,0.1838354403009958
IQP,400,8,1,0.425,0.3856408781516632,0.2423839538229076
IQP,400,8,2,0.3375,0.3347187860794985,0.1160298832903208
IQP,800,8,0,0.46875,0.4519313931743804,0.2950836587382925
IQP,800,8,1,0.38125,0.3819124881677974,0.1749736851658318
IQP,800,8,2,0.39375,0.380247465712582,0.191181273545803
IQP,1200,8,0,0.4083333333333333,0.4013179754809622,0.2125541849898431
IQP,1200,8,1,0.4125,0.4049016106442576,0.2151171761647443
IQP,1200,8,2,0.4791666666666667,0.4536293523725589,0.3112549103826901
IQP,1600,8,0,0.409375,0.4049253568704369,0.2115231567050093
IQP,1600,8,1,0.490625,0.4880336181518604,0.3204569093655219
IQP,1600,8,2,0.440625,0.4399020934186824,0.2547074913741589
IQP,2000,8,0,0.4375,0.4361552521029183,0.249148647275666
IQP,2000,8,1,0.525,0.5250570794280596,0.3662885381230774
IQP,2000,8,2,0.4325,0.4319377101202906,0.2426275695789516
HEE,400,8,0,0.725,0.7266594516594518,0.6498651765804119
HEE,400,8,1,0.65,0.6478093511630096,0.5331526735471713
HEE,400,8,2,0.725,0.7255919269719012,0.6339910090513838
HEE,800,8,0,0.775,0.7760991928114825,0.7002829693949577
HEE,800,8,1,0.80625,0.8069699784152532,0.7420531567137824
HEE,800,8,2,0.81875,0.8194383352611201,0.7590221561296383
HEE,1200,8,0,0.7583333333333333,0.7584726365040477,0.6779865488453889
HEE,1200,8,1,0.7125,0.7097193056285798,0.616490234550675
HEE,1200,8,2,0.85,0.8503389761701783,0.8006996797088507
HEE,1600,8,0,0.840625,0.8400238772658121,0.7876307478784367
HEE,1600,8,1,0.76875,0.7701611018493993,0.6915889465465411
HEE,1600,8,2,0.8125,0.8111896041147924,0.7498697812363185
HEE,2000,8,0,0.8,0.8002763041556145,0.7334183800466806
HEE,2000,8,1,0.7825,0.7812561075129811,0.7120251869697964
HEE,2000,8,2,0.7525,0.7518612658698133,0.6699261022763173
ZZ,400,8,0,0.2875,0.2407993966817496,0.0472879837322596
ZZ,400,8,1,0.2875,0.1981732849466117,0.0605391338979419
ZZ,400,8,2,0.3625,0.3237593324549846,0.156778245407066
ZZ,800,8,0,0.2625,0.1039603960396039,0.0
ZZ,800,8,1,0.2625,0.1039603960396039,0.0
ZZ,800,8,2,0.2875,0.2793505190023622,0.046617879632295
ZZ,1200,8,0,0.275,0.2703528115948785,0.0307464047494866
ZZ,1200,8,1,0.2666666666666666,0.247713014734495,0.0171950232090786
ZZ,1200,8,2,0.2625,0.1039603960396039,0.0
ZZ,1600,8,0,0.265625,0.1049382716049382,0.0
ZZ,1600,8,1,0.253125,0.2416698030271551,9.273559965890566e-05
ZZ,1600,8,2,0.265625,0.1049382716049382,0.0
ZZ,2000,8,0,0.265,0.1047430830039525,0.0
ZZ,2000,8,1,0.2625,0.2523680878545937,0.0129830858961711
ZZ,2000,8,2,0.285,0.2818762414292191,0.0433039007561916
RBF-Class,400,12,0,0.8375,0.8335218702865762,0.787253347394801
RBF-Class,400,12,1,0.8625,0.8590965944087119,0.8173667668160273
RBF-Class,400,12,2,0.9,0.899240361692223,0.8675705556195193
RBF-Class,800,12,0,0.83125,0.8285913192591275,0.775789472192666
RBF-Class,800,12,1,0.875,0.8724559644604242,0.8342313540700055
RBF-Class,800,12,2,0.89375,0.8935177203161148,0.8589296055775199
RBF-Class,1200,12,0,0.8583333333333333,0.8582977180350123,0.8112351259731725
RBF-Class,1200,12,1,0.8375,0.8354144778821297,0.7838160551080172
RBF-Class,1200,12,2,0.8833333333333333,0.8840865904257174,0.8446123654986696
RBF-Class,1600,12,0,0.903125,0.9025875850501512,0.8708606804777866
RBF-Class,1600,12,1,0.840625,0.8391347452958158,0.7876769817150123
RBF-Class,1600,12,2,0.88125,0.8812950189403955,0.8416273779919266
RBF-Class,2000,12,0,0.8925,0.8924518993252708,0.8566593107843896
RBF-Class,2000,12,1,0.8675,0.8669524959742351,0.8233578232760713
RBF-Class,2000,12,2,0.8625,0.8619017744301922,0.8169810054276637
RBF-Class-2n,400,12,0,0.85,0.8511228085696172,0.8026913330710919
RBF-Class-2n,400,12,1,0.85,0.8454469507101087,0.8018477266025271
RBF-Class-2n,400,12,2,0.9125,0.91213258286429,0.8837015423092955
RBF-Class-2n,800,12,0,0.86875,0.8649486491174059,0.82788830626483
RBF-Class-2n,800,12,1,0.9,0.898407432623861,0.8676192954248656
RBF-Class-2n,800,12,2,0.9,0.8999521941016229,0.8668924304887126
RBF-Class-2n,1200,12,0,0.8666666666666667,0.8663068995448733,0.8231806186865276
RBF-Class-2n,1200,12,1,0.8416666666666667,0.839412995574516,0.7897638977380218
RBF-Class-2n,1200,12,2,0.9041666666666668,0.904737975825734,0.8724922991984126
RBF-Class-2n,1600,12,0,0.884375,0.8835538245720398,0.8458401407751115
RBF-Class-2n,1600,12,1,0.84375,0.8418867898120783,0.792120500107886
RBF-Class-2n,1600,12,2,0.8875,0.8876105029875601,0.8501185617506201
RBF-Class-2n,2000,12,0,0.91,0.9098492125281842,0.8801081674062232
RBF-Class-2n,2000,12,1,0.86,0.8601525487377503,0.8139017351795593
RBF-Class-2n,2000,12,2,0.8725,0.8716493021138443,0.8302936208808511
W2K-Block,400,12,0,0.85,0.848992499364353,0.8016793242638848
W2K-Block,400,12,1,0.875,0.8721166221166221,0.8337508117071513
W2K-Block,400,12,2,0.9,0.900281425891182,0.8672363484785327
W2K-Block,800,12,0,0.86875,0.8652119757224387,0.827070376822729
W2K-Block,800,12,1,0.86875,0.8666744497369322,0.8258595501751761
W2K-Block,800,12,2,0.9,0.8997134737781536,0.8666701413316192
W2K-Block,1200,12,0,0.8541666666666666,0.8530508191967523,0.8070133218353975
W2K-Block,1200,12,1,0.8375,0.8348440625590919,0.7839037223259686
W2K-Block,1200,12,2,0.8833333333333333,0.8840772731462867,0.8445967890241907
W2K-Block,1600,12,0,0.88125,0.8802462027250336,0.8419689300502194
W2K-Block,1600,12,1,0.840625,0.8395019375792412,0.7876167766001951
W2K-Block,1600,12,2,0.89375,0.8932786863989332,0.8582653613129818
W2K-Block,2000,12,0,0.8975,0.8972977016753475,0.8632941157151247
W2K-Block,2000,12,1,0.86,0.8601070084064888,0.8136306271646232
W2K-Block,2000,12,2,0.865,0.8641918527802236,0.8201758706066495
IQP,400,12,0,0.2625,0.1039603960396039,0.0
IQP,400,12,1,0.2625,0.1587442939459702,0.0053927622693661
IQP,400,12,2,0.3125,0.2151653171390013,0.0936861000970762
IQP,800,12,0,0.3875,0.3333440358462833,0.2021004540160011
IQP,800,12,1,0.45,0.3953546767106089,0.2948504209705682
IQP,800,12,2,0.36875,0.3177361853832442,0.169249924875298
IQP,1200,12,0,0.3791666666666666,0.3556278538812785,0.1754156457011122
IQP,1200,12,1,0.4166666666666667,0.3881475648458347,0.2238187244615556
IQP,1200,12,2,0.3791666666666666,0.353324406290508,0.1789907841567362
IQP,1600,12,0,0.384375,0.3414311668063866,0.1818956804436545
IQP,1600,12,1,0.415625,0.3880937328119347,0.2257530278982649
IQP,1600,12,2,0.34375,0.3304087806670746,0.1228128576639374
IQP,2000,12,0,0.4,0.3850703937525721,0.2021507549936244
IQP,2000,12,1,0.435,0.4222332691232213,0.247406339188493
IQP,2000,12,2,0.445,0.4245202448585493,0.2628897416456382
HEE,400,12,0,0.55,0.5396568982775879,0.4687388260737462
HEE,400,12,1,0.6375,0.6303030303030304,0.5288503708447444
HEE,400,12,2,0.625,0.6098027375201288,0.5216774464710643
HEE,800,12,0,0.73125,0.7283175467677007,0.6513471974361397
HEE,800,12,1,0.75625,0.7584610814022579,0.6760416720090134
HEE,800,12,2,0.70625,0.7075247736581493,0.6203121545246996
HEE,1200,12,0,0.7125,0.7128750104617565,0.6234798742972997
HEE,1200,12,1,0.6666666666666666,0.6607827054241576,0.5561086522229667
HEE,1200,12,2,0.8041666666666667,0.8044252873563218,0.7428452835448185
HEE,1600,12,0,0.81875,0.8175385316755919,0.7591942081870346
HEE,1600,12,1,0.75,0.75172331097285,0.6684289253194787
HEE,1600,12,2,0.765625,0.7672539438640419,0.6876198602302395
HEE,2000,12,0,0.8175,0.817242099116622,0.75658909623586
HEE,2000,12,1,0.805,0.8047019846815123,0.7417615682651247
HEE,2000,12,2,0.7725,0.7724450175661416,0.6971655145203478
ZZ,400,12,0,0.2625,0.1039603960396039,0.0
ZZ,400,12,1,0.2625,0.1039603960396039,0.0
ZZ,400,12,2,0.2625,0.1039603960396039,0.0
ZZ,800,12,0,0.2625,0.1039603960396039,0.0
ZZ,800,12,1,0.2625,0.1039603960396039,0.0
ZZ,800,12,2,0.2625,0.1039603960396039,0.0
ZZ,1200,12,0,0.2625,0.1039603960396039,0.0
ZZ,1200,12,1,0.2666666666666666,0.1052631578947368,0.0
ZZ,1200,12,2,0.2625,0.1039603960396039,0.0
ZZ,1600,12,0,0.265625,0.1049382716049382,0.0
ZZ,1600,12,1,0.265625,0.1049382716049382,0.0
ZZ,1600,12,2,0.265625,0.1049382716049382,0.0
ZZ,2000,12,0,0.265,0.1047430830039525,0.0
ZZ,2000,12,1,0.265,0.1047430830039525,0.0
ZZ,2000,12,2,0.265,0.1047430830039525,0.0
RBF-Class,400,16,0,0.85,0.8488384422594949,0.8037568258475616
RBF-Class,400,16,1,0.9,0.8970402908591403,0.8674607463961719
RBF-Class,400,16,2,0.925,0.9248837384267422,0.9005421967345456
RBF-Class,800,16,0,0.86875,0.865643299263705,0.828482283017167
RBF-Class,800,16,1,0.9125,0.9111023429992642,0.883984247568977
RBF-Class,800,16,2,0.89375,0.8936490338929363,0.8586022077117089
RBF-Class,1200,16,0,0.8583333333333333,0.8576459320992662,0.8121351832093204
RBF-Class,1200,16,1,0.8333333333333334,0.8313776608402336,0.7779274987845444
RBF-Class,1200,16,2,0.875,0.8755418967503575,0.8336039372236356
RBF-Class,1600,16,0,0.9,0.8993486298583933,0.8666354426103208
RBF-Class,1600,16,1,0.834375,0.832760299519201,0.779161157916242
RBF-Class,1600,16,2,0.89375,0.8939100277792277,0.8582916628486434
RBF-Class,2000,16,0,0.8875,0.8875137058884786,0.8504401930928475
RBF-Class,2000,16,1,0.86,0.8600344323183245,0.8136306271646232
RBF-Class,2000,16,2,0.8675,0.8665593760327024,0.8238927094114464
RBF-Class-2n,400,16,0,0.8375,0.8383265856950068,0.7842540078938974
RBF-Class-2n,400,16,1,0.8625,0.8594097344097344,0.8180134362962099
RBF-Class-2n,400,16,2,0.9,0.899671669793621,0.8676256181851555
RBF-Class-2n,800,16,0,0.875,0.8718477346926629,0.836553120496368
RBF-Class-2n,800,16,1,0.9125,0.9104734207767028,0.8844229784644276
RBF-Class-2n,800,16,2,0.90625,0.9062355326653024,0.8750651292685794
RBF-Class-2n,1200,16,0,0.8583333333333333,0.8576647411210955,0.8119961784710733
RBF-Class-2n,1200,16,1,0.8458333333333333,0.8442066224711786,0.7945463740632945
RBF-Class-2n,1200,16,2,0.8916666666666667,0.8922139242042506,0.855881570903976
RBF-Class-2n,1600,16,0,0.878125,0.8771585571766991,0.8375691096039491
RBF-Class-2n,1600,16,1,0.853125,0.8519462058925549,0.8042476961729611
RBF-Class-2n,1600,16,2,0.89375,0.8936127222270966,0.8586799622104819
RBF-Class-2n,2000,16,0,0.8925,0.8921316266942229,0.8568523145808796
RBF-Class-2n,2000,16,1,0.87,0.8694865831872174,0.8268800821446352
RBF-Class-2n,2000,16,2,0.8775,0.8766277238528692,0.8367872901607633
W2K-Block,400,16,0,0.8625,0.8625837375837376,0.8205863106225016
W2K-Block,400,16,1,0.85,0.8466983466983468,0.8003757479410406
W2K-Block,400,16,2,0.9,0.8993511569731082,0.8672363484785327
W2K-Block,800,16,0,0.8625,0.8597099639126764,0.8207667979920734
W2K-Block,800,16,1,0.90625,0.904885650799214,0.8756925459115805
W2K-Block,800,16,2,0.9125,0.9123502557237496,0.8835512959421425
W2K-Block,1200,16,0,0.8458333333333333,0.845539827244838,0.7950007496041614
W2K-Block,1200,16,1,0.8416666666666667,0.8396724575645684,0.7891264349172145
W2K-Block,1200,16,2,0.8791666666666667,0.8801067445268073,0.8391078826131253
W2K-Block,1600,16,0,0.884375,0.8832246310630526,0.8460310301104844
W2K-Block,1600,16,1,0.846875,0.8458360262938033,0.7959987992008403
W2K-Block,1600,16,2,0.896875,0.8965261380711753,0.8625384361127902
W2K-Block,2000,16,0,0.9025,0.9023573384907412,0.8699987581650247
W2K-Block,2000,16,1,0.8675,0.866927066333007,0.8234531561301406
W2K-Block,2000,16,2,0.87,0.8694450234303791,0.8268004260946321
IQP,400,16,0,0.2625,0.1039603960396039,0.0
IQP,400,16,1,0.2625,0.1039603960396039,0.0
IQP,400,16,2,0.2625,0.1039603960396039,0.0
IQP,800,16,0,0.275,0.1310474045688306,0.0605981815431486
IQP,800,16,1,0.2625,0.1039603960396039,0.0
IQP,800,16,2,0.2625,0.1039603960396039,0.0
IQP,1200,16,0,0.275,0.1423838941969482,0.0508107285097261
IQP,1200,16,1,0.3208333333333333,0.2246338351346714,0.11995847290668
IQP,1200,16,2,0.2625,0.1039603960396039,0.0
IQP,1600,16,0,0.284375,0.1927076917049814,0.0433986370303334
IQP,1600,16,1,0.2875,0.2075765180204656,0.0501088544171476
IQP,1600,16,2,0.325,0.2404033301929537,0.129231560931641
IQP,2000,16,0,0.3475,0.2815285124201965,0.1509383661553424
IQP,2000,16,1,0.335,0.2619608293406189,0.1271643351754351
IQP,2000,16,2,0.3325,0.2552530833395254,0.1308902884024821
HEE,400,16,0,0.325,0.2252840909090909,0.2117783337239391
HEE,400,16,1,0.3,0.1785714285714285,0.1638487015953828
HEE,400,16,2,0.3125,0.2010025062656641,0.1568388076651249
HEE,800,16,0,0.41875,0.378319469659868,0.3413834302328482
HEE,800,16,1,0.40625,0.3501615730090919,0.3312679572459371
HEE,800,16,2,0.35,0.2634225832836845,0.2533618363282489
HEE,1200,16,0,0.45,0.4291092314118629,0.365235827849465
HEE,1200,16,1,0.4583333333333333,0.4346565099404165,0.3752849244464866
HEE,1200,16,2,0.4708333333333333,0.4470889812255273,0.3963101167296132
HEE,1600,16,0,0.546875,0.5367454749457856,0.4834368465285134
HEE,1600,16,1,0.565625,0.5652246313458064,0.497223733784761
HEE,1600,16,2,0.559375,0.555815726549447,0.488688537712013
HEE,2000,16,0,0.68,0.6802469217109982,0.6103165434234711
